,PD,PF,FIR,Balance,InferenceTotal(ms),InferenceTime(ms_per_sample)
0,0.857142734693895,0.11111110934744271,0.4615384260355057,0.8720275872088866,1.8290239572525024,0.02612891367503575
1,0.49999991666668053,0.12698412496850595,0.2727272479338866,0.6352226354834065,2.38755202293396,0.034602203230926956
2,0.6666665555555741,0.09523809372637947,0.39999996000000404,0.7548658737733362,2.7788479328155518,0.040273158446602196
3,0.8333331944444675,0.2857142811791384,0.21739129489603065,0.7661084925186493,2.3469760417938232,0.03401414553324381
4,0.6666665555555741,0.3333333280423281,0.15999999360000025,0.666666613756618,1.4564160108566284,0.021107478418212006
5,0.6666665555555741,0.1428571405895692,0.3076922840236705,0.7435635090294157,1.883039951324463,0.02729043407716613
6,0.9999998333333611,0.15873015621063244,0.37499997656250145,0.8877608301646,1.7129919528961182,0.0248259703318278
7,0.857142734693895,0.22580644797086374,0.29999998500000075,0.8110598637187465,3.049247980117798,0.04419199971185214
8,0.857142734693895,0.3709677359521333,0.20689654458977433,0.7189081472470338,2.8658881187438965,0.04153461041657821
9,0.7142856122449125,0.06451612799167536,0.5555554938271674,0.7928828325062083,2.156224012374878,0.031249623367751854
Average,0.7619046427437829,0.19152585459786686,0.32568012064685414,0.7649066385406902,2.246620798110962,0.03252185372091969
